Object Name,2006 QV89,Period Start,2019,Period End,2041,Possible Impacts,12,Cumulative Impact Probability,7.60E-05,Asteroid Velocity,5.16,Asteroid Magnitude,25.3,Asteroid Diameter (km),0.03,Cumulative Palermo Scale,-3.35,Maximum Palermo Scale,-3.35
Object Name,2008 VB4,Period Start,2019,Period End,2103,Possible Impacts,22,Cumulative Impact Probability,1.50E-07,Asteroid Velocity,11.84,Asteroid Magnitude,28.3,Asteroid Diameter (km),0.007,Cumulative Palermo Scale,-7.72,Maximum Palermo Scale,-8.03
Object Name,2008 UV99,Period Start,2019,Period End,2111,Possible Impacts,32,Cumulative Impact Probability,1.60E-07,Asteroid Velocity,15.6,Asteroid Magnitude,19.6,Asteroid Diameter (km),0.399,Cumulative Palermo Scale,-3.44,Maximum Palermo Scale,-3.55
Object Name,2010 DJ77,Period Start,2019,Period End,2113,Possible Impacts,53,Cumulative Impact Probability,6.20E-08,Asteroid Velocity,17.04,Asteroid Magnitude,21.1,Asteroid Diameter (km),0.2,Cumulative Palermo Scale,-4.45,Maximum Palermo Scale,-5.24
Object Name,2014 ML67,Period Start,2019,Period End,2113,Possible Impacts,33,Cumulative Impact Probability,7.00E-07,Asteroid Velocity,21.18,Asteroid Magnitude,24.2,Asteroid Diameter (km),0.05,Cumulative Palermo Scale,-4.98,Maximum Palermo Scale,-5.21
Object Name,2004 ME6,Period Start,2019,Period End,2113,Possible Impacts,51,Cumulative Impact Probability,1.60E-07,Asteroid Velocity,11.77,Asteroid Magnitude,22.6,Asteroid Diameter (km),0.1,Cumulative Palermo Scale,-5.41,Maximum Palermo Scale,-6.06
Object Name,2007 FT3,Period Start,2019,Period End,2114,Possible Impacts,138,Cumulative Impact Probability,1.10E-06,Asteroid Velocity,17.05,Asteroid Magnitude,20,Asteroid Diameter (km),0.34,Cumulative Palermo Scale,-3.08,Maximum Palermo Scale,-3.67
Object Name,2014 MA68,Period Start,2019,Period End,2115,Possible Impacts,454,Cumulative Impact Probability,2.00E-05,Asteroid Velocity,4.95,Asteroid Magnitude,25.9,Asteroid Diameter (km),0.022,Cumulative Palermo Scale,-5.16,Maximum Palermo Scale,-6.03
Object Name,2016 RP41,Period Start,2019,Period End,2115,Possible Impacts,62,Cumulative Impact Probability,4.10E-08,Asteroid Velocity,8.46,Asteroid Magnitude,22.5,Asteroid Diameter (km),0.11,Cumulative Palermo Scale,-5.65,Maximum Palermo Scale,-6.15
Object Name,2012 BL14,Period Start,2019,Period End,2115,Possible Impacts,520,Cumulative Impact Probability,1.70E-05,Asteroid Velocity,19.82,Asteroid Magnitude,28.2,Asteroid Diameter (km),0.008,Cumulative Palermo Scale,-5.71,Maximum Palermo Scale,-6.14
Object Name,2014 HN198,Period Start,2019,Period End,2115,Possible Impacts,170,Cumulative Impact Probability,1.20E-07,Asteroid Velocity,9.65,Asteroid Magnitude,25.7,Asteroid Diameter (km),0.024,Cumulative Palermo Scale,-7.01,Maximum Palermo Scale,-7.77
Object Name,2016 NL56,Period Start,2019,Period End,2116,Possible Impacts,225,Cumulative Impact Probability,1.30E-06,Asteroid Velocity,13.07,Asteroid Magnitude,21.4,Asteroid Diameter (km),0.188,Cumulative Palermo Scale,-3.04,Maximum Palermo Scale,-3.37
